rhythm_and_blues	popular_music
rhythm_and_blues	black_music
hot_jazz	popular_music
hot_jazz	jazz
quickstep	marching_music
quickstep	military_march
skiffle	popular_music
musical_drama	classical_music
musical_drama	opera
grand_opera	classical_music
grand_opera	opera
rap	popular_music
rap	black_music
sonatina	classical_music
sonatina	sonata
opera	classical_music
folk_music	popular_music
concerto_grosso	classical_music
concerto_grosso	concerto
spiritual	religious_song
spiritual	religious_music
religious_song	religious_music
carol	religious_song
carol	religious_music
dance_music	popular_music
piano_sonata	classical_music
piano_sonata	sonata
mass	religious_music
square-dance_music	popular_music
square-dance_music	folk_music
processional	religious_music
jazz	popular_music
antiphonary	religious_music
scat	popular_music
scat	jazz
country_music	popular_music
country_music	folk_music
requiem	religious_music
requiem	mass
wedding_march	marching_music
wedding_march	processional_march
chamber_music	classical_music
swing	popular_music
swing	jazz
boogie	folk_song
boogie	jazz
boogie	black_music
boogie	popular_music
boogie	folk_music
boogie	blues
blues	popular_music
blues	folk_song
blues	folk_music
blues	black_music
cool_jazz	popular_music
cool_jazz	jazz
sonata	classical_music
pibroch	marching_music
pibroch	military_march
rockabilly	popular_music
soul	popular_music
soul	folk_music
soul	gospel
soul	black_music
folk_song	popular_music
folk_song	folk_music
rock_'n'_roll	popular_music
gospel	popular_music
gospel	folk_music
trad	popular_music
trad	jazz
gradual	religious_music
gradual	antiphon
antiphon	religious_music
fugue	classical_music
modern_jazz	popular_music
modern_jazz	jazz
processional_march	marching_music
pop_music	popular_music
funk	popular_music
funk	jazz
symphony	classical_music
symphony	sonata
bop	popular_music
bop	jazz
progressive_rock	popular_music
progressive_rock	rock_'n'_roll
comic_opera	classical_music
comic_opera	opera
cantata	classical_music
military_march	marching_music
rondo	classical_music
hymn	religious_song
hymn	religious_music
schottische	popular_music
schottische	folk_music
heavy_metal	popular_music
heavy_metal	rock_'n'_roll
disco	popular_music
macumba	popular_music
reggae	popular_music
psychedelic_rock	popular_music
psychedelic_rock	rock_'n'_roll
punk_rock	popular_music
punk_rock	rock_'n'_roll
chant	religious_song
chant	religious_music
funeral_march	marching_music
funeral_march	processional_march
concerto	classical_music
